Cassavetes,Nick
Mueller,Niels
Webber,Peter
Tollin,Michael
Clark,Larry
Valdez,Luis
Goold,Rupert
Schwochow,Christian
Annan,Francis
Karukoski,Dome
Leigh,Mike
Linklater,Richard
Younger,Ben
Gervasi,Sacha
Alvarez,Kyle Patrick
Shadyac,Tom
Nava,Gregory
Dayton,Jonathan
Faris,Valerie
Hytner,Nicholas
Berlinger,Joe
Larraín,Pablo
Fontaine,Anne
Weitz,Chris
Ficarra,Glenn
Requa,John
Ragussis,Daniel
Gomez-Rejon,Alfonso
Sigismondi,Floria
Coulter,Allen
Coppola,Sofia
Smith,John N.
Krokidas,John
Lloyd,Phyllida
Weide,Robert B.
Rourke,Josie
Kwapis,Ken
Epstein,Rob
Friedman,Jeffrey
Dunmore,Laurence
Stern,Joshua Michael
Vijay,A.L.
Hess,Jared
Murphy,Ryan
Yavuz,Hüdaverdi
Allers,Roger
Takahata,Isao
Shinkai,Makoto
Unkrich,Lee
Molina,Adrian
Docter,Pete
Peterson,Bob
Lasseter,John
Carmen,Ronnie Del
Yamada,Naoko
Pablos,Sergio
López,Carlos Martínez
Elliot,Adam
Pinkava,Jan
Silverman,David
Moore,Tomm
Stewart,Ross
Powers,Kemp
Howard,Byron
Moore,Rich
Bush,Jared
Kon,Satoshi
Clements,Ron
Musker,John
Jenson,Vicky
Brannon,Ash
Kondô,Yoshifumi
Selick,Henry
Twomey,Nora
Yonebayashi,Hiromasa
Barras,Claude
Cooley,Josh
Greno,Nathan
Chomet,Sylvain
Laloux,René
Algar,James
Armstrong,Samuel
Jr.,Ford Beebe
Ferguson,Norman
Hand,David
Handley,Jim
Hee,T.
Jackson,Wilfred
Luske,Hamilton
Roberts,Bill
Satterfield,Paul
Sharpsteen,Ben
Rianda,Michael
Rowe,Jeff
Coffin,Pierre
Renaud,Chris
Bancroft,Tony
Cook,Barry
Rosen,Martin
Hubley,John
Reitherman,Wolfgang
Cottrell,William
Morey,Larry
Pearce,Perce
Clapin,Jérémy
Wit,Michael Dudok de
Box,Steve
Park,Nick
Saldanha,Carlos
Lounsbery,John
Kinney,Jack
Scanlon,Dan
Lourdelet,Christophe
Buck,Chris
Lee,Jennifer
Miyazaki,Gorô
Casarosa,Enrico
Dindal,Mark
Dunning,George
Geronimi,Clyde
Burton,Mark
Starzak,Richard
Asbury,Kelly
Johnson,Mike
Lima,Kevin
Rees,Jerry
Bass,Jules
Jr.,Arthur Rankin
Cutting,Jack
Heid,Graham
Wright,Norman
Davis,Arthur
Appelhans,Chris
Smith,Charise Castro
Johnson,Duke
Kaufman,Charlie
Gutiérrez,Jorge R.
DeMicco,Kirk
Morita,Hiroyuki
Ranft,Joe
Mattinson,Burny
Michener,David
Stevens,Art
Clark,Les
Larson,Eric
Elliotte,John
Anderson,Stephen J.
Smith,Sarah
Andrews,Mark
Chapman,Brenda
Purcell,Steve
Hillenburg,Stephen
Cook,Lorna
Brizzi,Gaëtan
Brizzi,Paul
Butoy,Hendel
Glebas,Francis
Goldberg,Eric
Hahn,Don
Hunt,Pixote
Hickner,Steve
Lord,Peter
Shi,Domee
Vine,Jean-Philippe
Rodriguez,Octavio E.
Culton,Jill
Wilderman,Todd
Johnston,Phil
Schaffer,Akiva
Martino,Steve
Butler,Chris
Tartakovsky,Genndy
Stevenson,Robert
Kimball,Ward
Crawford,Joel
Thurmeier,Michael
Darnell,Eric
Bergeron,Bibo
Paul,Don
Katzenberg,Jeffrey
Perifel,Pierre
Stoller,Nicholas
Sweetland,Doug
Annable,Graham
Stacchi,Anthony
Hayward,Jimmy
Blaise,Aaron
Walker,Robert
Judge,Mike
Seve,Mike de
Mulroney,Brian
Kaplan,Yvette
Gabriel,Mike
Hathcock,Bob
Fee,Brian
Sohn,Peter
Newitt,Jeff
Johnson,Tim
Kirkpatrick,Karey
Gilmore,Patrick
Kuenster,Dan
Reisig,Jason
Balda,Kyle
Ableson,Brad
Val,Jonathan del
Smith,Simon J.
Miller,Chris
Kenan,Gil
Scribner,George
Potterton,Gerald
Bruno,John
Halas,John
Harris,Julian
Murakami,Jimmy T.
Nelson,Barrie
Sabella,Paul
Stokes,Jack
Lamsweerde,Pino Van
